col0 col1
153.164247747 -559.273198293
88.8957462732 -559.8844479
88.6852091695 -495.585231938
152.075299163 -495.146987887
153.164247747 -559.273198293
151.951779602 -491.114050139
88.5629432995 -491.491707733
88.6817244062 -428.166434132
151.374464069 -427.953054499
151.951779602 -491.114050139
84.0542491075 -560.024759132
19.4886688227 -560.223023933
20.1517394135 -495.586131917
83.8266116045 -495.728685163
84.0542491075 -560.024759132
84.0034547211 -491.458155671
20.3893928665 -491.587514944
20.8003081319 -427.999095302
83.7136403672 -428.197832967
84.0034547211 -491.458155671
-89.586730797 -489.579271441
-152.821725799 -489.065991328
-152.069975892 -426.004460812
-89.5224228807 -426.353838149
-89.586730797 -489.579271441
-89.5536715352 -558.092393246
-153.738430464 -557.134517866
-152.367679117 -493.078653993
-89.0528860323 -493.855306749
-89.5536715352 -558.092393246
-21.0487285427 -489.319067084
-84.5672218184 -489.588755505
-84.7510404418 -426.397046926
-21.9311509741 -425.810961888
-21.0487285427 -489.319067084
-20.3187640221 -558.079452413
-84.8156806956 -557.988396676
-84.7695076341 -493.710454146
-21.1577125967 -493.468331929
-20.3187640221 -558.079452413
163.164247747 -559.273198293
98.8957462732 -559.8844479
98.6852091695 -495.585231938
162.075299163 -495.146987887
163.164247747 -559.273198293
161.951779602 -491.114050139
98.5629432995 -491.491707733
98.6817244062 -428.166434132
161.374464069 -427.953054499
161.951779602 -491.114050139
94.0542491075 -560.024759132
29.4886688227 -560.223023933
30.1517394135 -495.586131917
93.8266116045 -495.728685163
94.0542491075 -560.024759132
94.0034547211 -491.458155671
30.3893928665 -491.587514944
30.8003081319 -427.999095302
93.7136403672 -428.197832967
94.0034547211 -491.458155671
-79.586730797 -489.579271441
-142.821725799 -489.065991328
-142.069975892 -426.004460812
-79.5224228807 -426.353838149
-79.586730797 -489.579271441
-79.5536715352 -558.092393246
-143.738430464 -557.134517866
-142.367679117 -493.078653993
-79.0528860323 -493.855306749
-79.5536715352 -558.092393246
-11.048728542700001 -489.319067084
-74.5672218184 -489.588755505
-74.7510404418 -426.397046926
-11.9311509741 -425.810961888
-11.048728542700001 -489.319067084
-10.318764022100002 -558.079452413
-74.8156806956 -557.988396676
-74.7695076341 -493.710454146
-11.157712596700001 -493.468331929
-10.318764022100002 -558.079452413
